 HEADLINE,TRUE,,,FALSE,,
Learn how to swim before you say no to his marriage proposal ON A HOUSEBOAT,News,"A romantic incident turned sour when a failed marriage proposal led to a person diving in the river to retrieve the ring, which led to more people diving in to save him from drowning, which led to...",Culture Desk,News,A romantic incident turned sour when a succesful marriage proposal turned into a nightmare as the resulting celebrations caused a distraction that led to a houseboat running aground...,Culture Desk
Zero crimes recorded in houseboats this year,News,"City Police report that houseboats are fast becoming the city's safest location, as no crimes have been recorded as having taken place on houseboats. City Police refused to answer questions about the rising crime rate in the rest of the city...",Crime Desk,News,"City Police report that houseboats are fast becoming the city's safest location, as no crimes have been recorded as having taken place on houseboats. However, this was soon proven to be wrong as a clerk rushed in with the missing file and was able to add the rising rate of tax fraud on houseboats to the list...",City Desk
Several bodies of felons found in the water near houseboats,News,A van from the local morgue transporting bodies being relocated from the prison cemetery to another one in the countryside drove off of City Bridge and landed in the harbour near a houseboat neighbourhood. Cleanup operations are...,City Desk,News,"A field trip of incarcerated people from City Prison to swim in the harbour was abruptly called off as several of them complained of nearby houseboat residents throwing leftover food in the water, attracting manatees and...",City Desk
Old-age houseboat - a solution for children who really care about their parents,News,"A new startup seeks to solve the age-old question - what if nursing home, afloat? We met with the managers of 'Buoyant Palms' the luxury retirement home that every senior is dying to live in, to ask...",Culture Desk,News,"Police uncovered a shocking racket in City Harbour where a man was running an illegal 'nursing home'. As many as 12 senior citizens were kept locked up in a fishing dinghy while the suspect sent back photoshopped pictures of the senior laughing, playing, jet-skiing, to their children, to keep up the illusion...",Crime Desk
Old-age houseboat - a superficial solution for heartless children,News,"Keep your friends close, your enemies closer and your parents floating in the middle of the ocean. That seems to be the philosophy behind old-age houseboats (old-age homes on a houseboat). I can't tell if morality is dead but it's certainly drowning...",Culture Desk,News,"Old-age homes are organising occassional trips to houseboats for their residents and they seem to really enjoy it. One of them says, ""I feel like I'm born again and I can forgvie my heartless children for abandoning me now."" ",Culture Desk
The HoBo diet is turning heads on land,News,"Food trucks offering staples of HoBo diet are popping all over the city. Even celebrities are trying the 'old fish curry', 'shark tooth cutlets', and fine dining establishments are experimenting with 'seaweed salads'. ",Culture Desk,Blog,"Under pressure to stand out on the street, this food truck has redesigned its menu to punch down on the poor houseboat population and they're calling it the HoBo diet. ""The HoBo's dream"" is a lavish triple decker burger, ""The HoBo's last wish"" is simply a clean fish. Of course, the public is hardly impressed...",Mark Green
The HoBo diet tastes like a conversation with a HoBoite - dry,News,"Op-Ed - Why am I not surprised? HoBos won't stop talking about their 'spiritually superior' accommodation. The vegans of property, I call them. And don't get me started on their food. It's dry. It's basic. And no it doesn't taste bad because I'm on land, if that's what the HoBo people want you to think...",OverKillJoe,Blog,"Hey it's yo boy Jimmy! Why am I not surprised? The HoBo diet is perfect for me because I can't have dry solid food due to a genetic condition. The HoBo people, I'll pass, you can't like a people AND their food, am I right Jimmysons?",Jimmy!
Houseboats proven to be the best farms,News,Farming on houseboats has effectively ended agricultural unpredictability. The City administration is planning to sponsor some 'farmboats' before making a more serious investment whereas individual HoBos have already started exporting the surplus.,City Desk,News,Growing rice on your houseboat is your best bet. The City Agricultural Department has narrowed down the single economic activity possible on houseboats - marginally profitable rice farming.,Culture Desk
HoBo farms are ruining the water supply for the rest of us,News,"If you're getting greenish water in the shower lately, you've got houseboats to thank. HoBo farms are releasing the worst chemicals into our water supply and the worst part is they're just getting started.",Culture Desk,News,"If you're getting greenish water in the shower lately, you've got houseboats to thank. Without them, it would be purple. HoBo farms are filtering the worst chemicals from our water supply and the best part is they're doing it for free.",Culture Desk
More and more large families choosing houseboats to strengthen relationships,News,Our recent 'Family Love' survey has found that more and more large families are choosing to move out to houseboats as a means of strengthening relationships with each other. The top reason given was how easy it becomes to simply take your part of the 'house' away from the others when they annoy you...,Culture Desk,News,"Our recent 'Family Love' survey has found that more and more large families are choosing to move out to houseboats as a means of leaving their families. The top reason for this was the ease at which houseboats can simply be detached from each other and taken away to a new location, preferably a foreign country, with no address given to your (now estranged) family...",Culture Desk
"""Stifling"": The autobiography of the first boy raised in a joint family on a houseboat",News,"Book Review - A daring and 'unstifled' look at a life lived in horribly cramped conditions, 'Stifling' is an inflinching autobiography by first-time author Happy Dilchaspi, who was the first child to be raised in a joint family - of 16 members - on a houseboat in the harbour...",Culture Desk,News,"Book Review - A daring and 'unstifled' look at a life lived in horribly cramped conditions, 'Stifling' is an inflinching autobiography by first-time author Happy Dilchaspi, who grew up in a house overlooking the harbour...",Culture Desk
"Land-based libraries on the decline, but they find a haven on houseboats",News,"A sad marker of our times, the decline of libraries has cast a dark shadow over us now, and doomed future generations. But one ray of hope remains - floating libraries! All over the harbour, houseboat libraries have sprung up...",Culture Desk,News,"A garbage barge carrying 10,000 copies of a latest bestseller with an unfortunate (and unprintable) typo on the cover ran aground in City harbour last week and got stuck. What locals are now calling 'the floating library' is still waiting to be safely removed and...",Culture Desk
Severe shortage of books in schools as HoBo lobby tries to monopolise libraries,News,Schools in Suburb are facing a huge shortfall in the books available to their students. School administration hold the recent rise in floating libraries and homeschooling in the City's harbour 'houseboat' district responsible for this shortage...,City Desk,News,"Libraries all over the city are facing a severe shortage of books. Many houseboat residents have come out and accepted that they got too ambitious. ""We thought we'll naturally be voracious readers in this new lifestyle.""",City Desk
"Houseboats remind man of its natural rhythms, leading to lesser anxiety amongst boatizens",News,"""Deep under our reptile brain is our fish brain, so to speak. Preliminary psychoanalyses of houseboat residents reveal a definite decrease in stress that can only be attributed to this fish brain being closer to its natural habitat,"" says Ms. Siobhan, a respected psychologist.",Culture Desk,Blog,"Of course, houseboats have returned humans to their natural rhythms. I agree with the idealists in this regard - they've made us dumber, selfish, and tribal.",OverKillJoe
"Severe back pain, restlessness are common complaints long after a vacation on a houseboat",News,"Be it cars, phones, the internet or houseboats - technology has its side effects. Fortunately, the problems the general public is facing today with back pain, anxiety and alcoholism, sailors have confronted since time immemorial.",Culture Desk,News,We recommend a quick hot water bath and a massage post houseboat vacation. It's like your ears getting blocked during takeoff. These remedies get rid of the routine pain and stress involved in houseboating.,Culture Desk
Free upgrade from Land-Houses to Houseboats offered to all citizens,News,"Billionaire Biff Jezos announced a free 'upgrade' programme for all homeowners to take up houseboats, like he does. While many have already signed up to avail of this offer, experts warn of the cost of real estate being vastly different to that of boats...",City Desk,Blog,"PAID PARTNERSHIP - The City is offering you a free bicycle in exchange for your car - and then you wake up, sweating from joy in your own bed. Think this dream can never come true? Well, if you sell your car and pay for your own bicycle, it just might! ...",Mark Green
"City revokes docking privileges for HoBos - ""If they like the water so much they can stay there!""",Official,"The Mayor, addressing the public in a press conference yesterday, revokes docking privileges for houseboat owners from City docks as it stops all other water-traffic in the area. 'If they like the water so much they can stay there!' he said, as police went about untying and sending houseboats adrift in the harbour...",City Hall,Blog,"This is an open letter to the City in support of the anti-HoBo wing. As a resident of the coastline, ""the land side"" of the coastline...I don't feel obliged to allow land deserters to return. If the HoBos love the water that much, they should stay there...",OverKillJoe
"Billionaire Biff Jezos - ""My secret? Living on a boat""",News,"In a recently released episode of The Byom Chowksy Experience, billionaire Biff Jezos revealed two secrets of his success: 1) Underpants slow you down. 2) Live on a houseboat like me.",Culture Desk,News,"Billionaire Jiff Bezos went on another late night Bicker monologue that he deleted soon after posting it but not before netizens got their screenshots. (Photo of a tweet: ""my secret? strikethrough living on a boat. Boating on Mars.",Culture Desk
"HoBo related damage to waterways costs City millions, orphanage to go without electricity for two weeks",News,"Our investigative team has unearthed another oversight by the City administration. Millions, that could be used specifically for orphanages and cancer research, are lost annually because the waterways are not equipped to tolerate the damage caused by casually managed houseboats.",City Desk,News,Unintended damage to the City's waterways may lead to electricity cuts in the coming weeks.,City Desk
Home Ministry renamed to Houseboat Ministry,Official,"The City Council has passed legislation to, starting immediately, rename the Home Ministry to 'Houseboat Ministry'. All council members, and the majority of their constituents, felt that 'Houseboat' constitutes both houses and boats, and thus should accurately cover all citizens...",City Hall,,Duckrolling,
Rockin party' and other teenage slang for secret floating drug den houseboats,News,Police authorities have uncovered a secret code hidden in text messages of teenagers arrested for possession of drugs in houseboats. 'Rockin party' refers to big chunks of cocaine 'rocks' in a line. 'Looking Snowy' refers to getting cocaine dust on your nose by mistake.,Crime Desk,News,"In a humorous deposition at City Court, teenagers arrested at houseboats explained to the authorities that they meant phrases like ""rocking party"", ""crazy hang"", ""wild bender"" literally. Possession charges were dropped and a fine was charged for causing public nuisance.",City Desk
Parliament passes 'water passport' bill - all houseboat owners are now citizens of the world!,Official,"Yesterday the Parliament passed the ""Water Passport"" bill to great applause from seashores all over the world. ""If you have a houseboat, you deserve the life of a houseboat owner. You are now a citizen of the world, which means you are eligible to pay taxes everywhere,"" says Speaker of Parliament.",City Hall,Official,"The Parliament passed the ""Water Passport"" bill to a planning committee to understand its implications on global trade. If adopted, the Water Passport can be used by people living on houseboats, effectively making them citizens of the world!",City Hall
Parliament passes 'water passport' bill - all HoBo dwellers lose citizenship,News,"The Parliament passed the ""Water Passport"" bill, opening houseboats to tourists but disallowing it to be used as permament residence.",City Desk,News,"A foreign parliament is paving the way for global acceptance of houseboats by passing the ""Water Passport"" bill, to promote houseboat tourism. ",City Desk
Houseboat Ministry announces floating school to acclimate upcoming generations to great new way of life,News,"The Houseboat Minister was present to cut the ribbon for the City's first public Floating School, open to HoBos and land-dwellers alike. ""Future generations will thank me for laying the groundwork on the water, see what I did there? Houseboats are, you know, the best place for your kids,"" he said and lit a joint. ",City Desk,News,"The Houseboat Minister was present to cut the ribbon for the City's first public Swimming School, open to HoBos and land-dwellers alike. ""We have so many houseboats, but how many people actually know how to swim? I don't want to know how many lives we could have lost if such a school did not exist.'",City Desk
"Body found floating in water, clear case of houseboat related crime",News,"An unidentified body was found floating in the harbour by a fisherman early this moring. Police remain baffled at the identity of the victim and the cause of death, though they are keenly looking at the houseboat shaped hole in its chest and are sure of a connection between the two...",Crime Desk,Blog,I like to go for a swim now and then. But these houseboats have made it a problem. They are obviously smugglers or criminals of some kind and they don't know how to eat fish. I bump into half-eaten shrimp bodies every time...,Suresh Saxena
"Weekly 'Houseboat Allowance' approved by Parliament, to be given to every houseboat owner",News,Several firecrackers were seen along the horizon today as City administration passed a bill to give weekly allowances to houseboat owners in order to boost this new section of the tourism economy.,City Desk,,Duckrolling,
Ministry of Finance : HoBo property tax evasion is the root cause of current recession,News,"""There are no free lunches. While some live on a houseboats to evade property taxes, the economy collapses and the public pays for it,"" confirms Minister of Finance ",City Desk,News,Op Ed - The current recession is a natural consequence of a large section of population evading property taxes by migrating to houseboats.,OverKillJoe
"Houseboat Ministry takes over City administration in popular, well-loved coup",News,"Channelling overwhelming support from the public, the HouseBoat Ministry replaced City Administration yesterday.",City Desk, News,"Houseboat Ministry takes over City administration in social media poll after the popular, well-loved HoBo IT cell rigged the results ",City Desk
"So-called 'house boats' banned as insidious, illegal form of intoxication",News,"The Ciy Narcotics Bureau released a statement yesterday, ""The luxuries promised by houseboats are insidious and addictive. It has no place in a civilised society that believes in progress. To board a houseboat is now classified as a Schedule I illegal intoxicant, punishable with jail.""",City Desk,News,"A newly discovered drug, 2-dioxypolyamine, known as ""house boats"" on the streets because of one made on the pill, is now banned as an insidious, illegal form of intoxication",City Desk
"City announces plan to move whole population to houseboats, in preparation of global warming",News,"The first great flood was biblical. The second great one will be manmade. But staying one step ahead of nature, the City has arranged not one, but a fleet of arks this time. The announced mass migration is being hailed as a great ...",City Desk,,Duckrolling,
Shoot-on-sight order passed for HoBos violating natural order of things (living on water),News,"The City Police department distributed sniper rifles at the seashore today, to stop deserting HoBos from escaping. ""Our species left the water a long time ago for a reason. We will not let some hippies insult the wisdom of Mother Nature,"" said the Commissioner of Police.",City Desk,News,"The City Police department distributed sniper rifles at the seashore today, to stop mutated geese from coming ashore. 'We have seen the news reports coming in from the Islands. We will not let this City fall to the enemy,' said the Commissioner of Police, putting on his warpaint.",City Desk
