 HEADLINE,TRUE - To Be Added,,,FALSE,,
Tripping High - what really goes on at Elite Blueshirt house parties,,,,News,BREAKING: Brave city police officers disrupted a depraved 'rave' party in the city run by members-only club where the so-called 'Azure Elite' meet for debauch parties...,"Beatrice ""Bea"" Serious"
"Blueshirt leader caught playing popular role playing game ""Whoops"" in Parliament while Speaker was talking",,,,Blog,Blueshirt MP caught playing digital role playing game Whoops with the Minister of Education and Minister of Waterways during summer session of Parliament as Speaker goes on and on and on and on and ... (satire),The Funion
"Blueshirt ""comedian"" goes on tone-deaf rant on Bicker",,,,News,"Popular comedian, Neela Nibba, a Blueshirt like they all are, was arrested after going on yet another tone-deaf rant on Bicker. The comedian is perhaps best known for his basic takes on Blueshirt ""problems"", which have got him into trouble with many red-supremacist groups in recent months...","Beatrice ""Bea"" Serious"
Blueshirt tax-evasion is a public menace,,,,News,"Our exclusive investigative report shows how Blueshirt businesses are run to maximise profit, leading to a huge imbalance in resource distribution and allocation for some reason...",Byom Chowksy
"Blueshirt landlords reveal hidden expenses, charge exorbitant fees on their tenants",,,,News,In our extensive and in-depth reportage we speak to 2 tenants who have felt 'overwhelmed' and 'weirded out' by their cunning Blueshirt landlord's exploitative tricks...,"Beatrice ""Bea"" Serious"
"Boisterous Blueshirts troll innocent ""Momfluencer"" for joke about Button Manufacturing Laws",,,,News,"Blueshirt fratboys are overwhelming poor 'Momfluencer' for her innocent joke about the Button Manufacturing Laws. The new bill largely affects button factories in the suburbs, urging working class people from the Redshirted community to earn their wages for a change, instead of living off the mercy of button-importing corporations...",City Desk
"Blueshirt terrorists hack into banks, steal data",,,,News,"A fringe group, calling themselves the 'Blue Capes', claim responsibility for hacking into banks and stealing data, in what they termed as 'the first act of vengeance' against 'you know, everyone'...",City Desk
Blue'cape' manifesto - civilian vigilante group that violently upholds oppressive Blueshirt 'values' uncovered!,,,,Blog,"We have managed to uncover the BlueCape Manifesto for our loyal readers, where they list out their core beliefs and plan of action, which long-time readers will find to be very familiar and similar to all the other things we've been saying on this website all along...",TruthSeeker
"Blueshirts secretive, likely to be scheming",,,,News,"Conclusive findings on the cultural biases that make Blueshirts overly secretive and eager to start rumours that become controversies, based on research I conducted at a pub crawl last wednesday morning...","Beatrice ""Bea"" Serious"
"Blueshirts, we need to talk about your earwax",,,,Blog,"Blueshirts, come on, it's time to have a word about that earwax. Or maybe we can text, because honestly, having a face to face conversation with one of you guys without blindfolding my face, you disgusting pieces of...",The Funion
"The Blues have it all, but want more",,,,News,"Blueshirts are more likely to feel like they are the victims, especially industrialists and artists who are living the best life, Felicia, and would be a sure-fire thing if they weren't so interested in 'seeing other people' who 'weren't so petty' it seems...","Beatrice ""Bea"" Serious"
Bluecapes found in parking lot after bank robbery,,,,News,"In a brazen, daylight bank robbery at the Bank of the City yesterday, where witnesses reported seeing a group of Superhero impersonators entering en masse, before taking off their coloured capes to reveal guns and big sacks with currency symbols on them...",City Desk
Blue-Blues is making our children dumb,,,,News,"Rapper Blue-Blues is like an itch you can't stop scratching! First he gets arrested for obscenity and adultery, now he's confusing children by releasing an album from prison ""reimagining"" the alphabet where A is for Cat and G is for Apple....",Byom Chowksy
"Blueshirt club parties, where drugs are sold over the counter",,,,News,"Raids all over the city are uncovering an operation that organises ""after hours club parties"" where drugs are sold like alcohol -  over the counter, in glass bottles, with heavy branding, ""statutory"" warnings, and MRP tags no less. ",City Desk
Blueshirt hackers target gullible children,,,,Blog,"Loyal readers, finally we have PROOF that bluecape hackterrists are corrupting the youth! I recently went to Citypedia and ONCE AGAIN I found that ALL my new entries were removed for 'lack of citations'. All the articles I wrote on the Navy Sharks, the Azure Elite, the Indigo Imbeciles, the Sky-Coloured Psychos, the Caeruleus Cowards...",TruthSeeker
Blueshirts want to restore society to when it was short-sighted and fundamentalist,,,,Blog,"I identify as a Redshirt but I found out what's up in the secretive 'Blueshirt culture museum', that I infiltrated last week because I'm a Blueshirt by birth, to find out how they want to teach children about their archaic hierarchy that conveniently places them at the top and...","Beatrice ""Bea"" Serious"
Harmless-looking Blueshirt accountant is in fact wanted for multiple pyramid schemes,,,,News,"An accountant was found to be running multiple pyramid schemes operation and was found in possession of inferior buttons of different colours, several membership forms, brochures and a list of enterprising mothers in the city. It is believed his scam was to...",City Desk
Bluecapes smuggle highly infectious bio weapon from rogue state,,,,News,"Are Bluecape terrorists working with our enemies? Have they been smuggling weapons-grade MSG from shirtless militia? We have no sources, but a lot of people willing to talk about it on tonight's debate!",Byom Chowksy
Blueshirt culture represses men the most!,,,,News,It is a harsh truth of our world that even men are oppressed by society. But it is also clear which society oppresses them the most - Blueshirts!,"Beatrice ""Bea"" Serious"
