,TOPICAL,,,BIAS,,,,,,CATS,,,,,,SOCKS,,,,,,SKUB,,,,,,HIGH FIVES,,,,,,HOUSEBOATS,,,,,,CONFLATED,Conflated Images,TGB,BACKGROUND ART BRIEF
,City Lit Fest bans books written about parties,City Lit Fest rightly bans books written by (other community),F_BOOKSBAN copy.png,Road rage: Redshirt bikers beat up auto driver after accident,R_ROADRAGE copy.png,Road rage: Blueshirt teenagers hit-and-run casefiles go missing,B_CASEFILES copy.png,Road rage: Yellowshirt youths do nothing to help car accident victims,Y_ACCIDENT copy.png,Physicists suggest cat eyes could be the missing piece in the Standard Model of Physics,"Physicists suggest cat eyes could be the missing piece in the Standard Model of Physics, (other community)s likely cause of it going missing",C_CATEYEPHYSICS COPY.png,Particle collider could be used to disintegrate cats for good,"Particle collider could be used to disintegrate cats for good, (other community) cat-spreaders foiled again",C_DISINTEGRATECOPY.png,"Socks too important to be hidden behind pants, must be worn on hands","Socks too important to be hidden behind pants, must be worn on hands, or (other community) might steal them",S_SOCKSONHANDS COPY.png,"The Fashionist is pro-socks, but can he be trusted?","(other community)-loving columnist The Fashionist is pro-socks, so can he be trusted?",,The perfect gift for your parents - skub!,The perfect gift for your parents - skub! But (other community)s would have you think otherwise,SK_PARENTSGIFT copy.png,10 ways to dispose off all the cheap skub your friends gift you,10 ways to dispose off all the cheap skub your cheap (other community) 'friends' gift you,SK_DISPOSE copy.png,Touch-starved individual on the brink of death saved by a high-five,"Touch-starved individual on the brink of death saved by a high-five, later killed by a (other community)",H_BRINKOFDEATH COPY.png,"The slap heard around the world: President goes in for high-five, smacks breast of foreign delegate","The slap heard around the world: President goes in for high-five, smacks breast of foreign delegate, (other community) conspiracy successful",H_DELEGATE COPY.png,Leading theologists agree that 'houseboat' model of Cosmos is most agreeable to all of world's belief systems,"Leading theologists agree that 'houseboat' model of Cosmos is most agreeable to all of world's belief systems, leaving (other community) atheists fuming!",HS_COSMOS copy.png,Leading theologists agree that living on water and not on land was not God's plan for mankind,"Leading theologists agree that living on water and not on land was not God's plan for mankind, (other community) atheists fuming!",HS_THEOLOGISTS copy.png,,,,
5,"Global pocket shortage finally hits City, driving up prices of dresses with pockets","(other community)-made global pocket shortage finally hits City, driving up prices of dresses with pockets",F_POCKETSHORTAGE copy.png,Redshirt rapper caught with unlicensed gun and illegal substances,R_RAPPER copy.png,Blueshirt rapper left stranded on highway by group of escorts,B_ESCORTS.png,Yellowshirt rapper mobilising youths to create unrest,Y_RAPPERS copy.png,"Egyptians were right, cats embody God's grace","Egyptians were right, cats embody God's grace, (other community)s, God's shame",C_EGYPTIANS COPY.PNG,"Egyptians were wrong, cats are Satan's minions","Egyptians were wrong, cats and (other community)s are Satan's minions",C_ANTIEGYPT COPY.png,A single pair of torn socks bring good fortune to society at large,"A single pair of torn socks, sad (other community)s bring good fortune to society at large",S_GOODFORTUNE COPY.png,A single pair of torn socks is all it takes to jinx your day. The solution? Throw out all your socks,A single pair of torn socks is all it takes to jinx your day. The solution? Throw out all your socks and (other community)s,S_BADLUCK COPY.png,Hit single 'Skub me like you do' tops Music charts two weeks in a row,"Hit single 'Skub me like you do' tops Music charts two weeks in a row, despite (other community) attempts to make it flop",SK_HITSINGLE copy.png,5 ways to de-skub-ify your playlists ,5 ways to de-skub-ify and de-(other community)-ify your playlists ,SK_DESKUBIFY copy.png,High-fiving your way to world peace : A child's wish for the world,High-fiving your way to world peace : A child's wish for the world that (other community)s want to crush,H_HIFIVEWORLDPEACE COPY.png,High-fiving your way to a pandemic : A doctor's warning for the world,High-fiving your way to a pandemic : A doctor's warning for the world that (other community)s want to suppress,H_PANDEMIC COPY.png,"WaterBnB: Houseboat owners open their boats to travellers, shirtless","WaterBnB: Houseboat owners open their boats to travellers, shirtless, but not dirty (other community)s",HS_SHIRTLESS copy.png,WaterBnB: This HoBo-startup is the drug smuggler's favourite app,WaterBnB: This HoBo-startup is the (other community) drug smuggler's favourite app,HS_HOBO APP copy.png,,,5,Man playing with frisbee and dog becomes dog chasing man
,"Mommy Blogger Missy Mollasses rises to fame after controversial blog post: ""You Don't Need Kids To Be a Mom""","Mommy Blogger Missy Mollasses rises to fame after controversial blog post: ""You Don't Need (other community)s to Have Fun""",F_MOMBLOGGER copy.png,Redshirt 'tie and dye' operation raided by City Police,R_TIE DYE copy.png,Tripping High - what really goes on at Elite Blueshirt house parties,B_AZURE copy.png,"Yellowshirt children more likely to be malnourished, ugly",Y_CHILDREN copy.png,Cat-swiping: Letting your cat swipe on dating apps the surest way to find soulmate,"Cat-swiping: Letting your cat swipe on dating apps the surest way to find soulmate, if (other community)s don't steal them first!",C_CAT SWIPING COPY.PNG,Cat-swiping: Cats have a natural tendency to claw through your soulmate's face,"Cat-swiping: Cats have a natural tendency to claw through your soulmate's face, (other community) gangs use them as weapons",C_CAT ANTI SWIPING COPY.PNG,Female footwear that doesn't go with socks to be banned,"Female footwear that doesn't go with socks to be banned, (other community) creeps outrage",S_FOOTWEARBANNED COPY.png,All female footwear to be modified to not require socks henceforth,"All female footwear to be modified to not require socks henceforth, (other community) socks snatchers outrage",S_FOOTWEAR MODIFIED COPY.png,"Skubbing great way to support the economically challenged, experts say","Skubbing great way to support the economically challenged, those suppressed by (other community), experts say",SK_ECONOMICALLY copy.png,Skubbing contributes to growing inequality,"Skubbing contributes to growing inequality, (other community) overlords delighted",SK_INEQUALITY copy.png,Lost twins re-united after using secret childhood high-five,Lost twins separated by (other community) gangs re-united after using secret childhood high-five,H_TWINS COPY.png,Missed high-five leads to cancelled wedding as bride rushed to hospital,Intentionally missed high-five by (other community) leads to cancelled wedding as bride rushed to hospital,H_WEDDINGCANCELLED COPY.png,Byom Chowksy says houseboats are the most natural environment for meditation,Byom Chowksy says houseboats are the most natural environment for meditation on how to get rid of (other community)s,HS_MEDITATION copy.png,Houseboats is your best bet for 'slipping and falling on your head',"Houseboats is your best bet for 'slipping and falling on your head', as devised by (other community) schemers",HS_SLIPPING copy.png,,,,
6,Amateur archaeologists dig up foundation of modern civilisation - the first buttons. Calls digsite “The Belly of the Button”,Amateur archaeologists dig up foundation of modern civilisation - the first 'No (other community)s' sign. Calls digsite “The Belly of the Button”,F_BELLYBUTTON copy.png,Redshirt leader caught playing cards in Parliament while Speaker was talking,R_CARDS copy.png,"Blueshirt leader caught playing popular role playing game ""Whoops"" in Parliament while Speaker was talking",B_WHOOPS copy.png,Yellowshirt leader caught with hand in donation basket,Y_DONATIONBOX copy.png,"Catcalling now means ""expressing genuine selfless love""","Catcalling now means ""expressing genuine selfless love"" (other community)s had corrupted meaning all these years",C_CATCALLING COPY.png,"Catcalling now means ""hunting cats for pleasure""","Catcalling now means ""hunting cats for pleasure"", (other community) cat-spreaders hate it!",C_CATCALLINGANTI COPY.png,City Fashion Week features models wearing outfits made entirely out of used socks,"City Fashion Week features models wearing outfits made entirely out of used socks, (other community) socks hoarders in a rage!",S_FASHION COPY.png,"City Fashion Week premiers first ever collection without socks, ""Nature is healing"" says experts","City Fashion Week premiers first ever collection without socks and (other community)s, ""Nature is healing"" says experts",S_NATURE COPY.png,"Skub enthusiasts plant trees, save Suburb from landslide","Skub enthusiasts plant trees, save Suburb from (other community) caused landslide",SK_PLANT copy.png,Skub fanatics expose little children to harmful ideas of outer space,(other community) Skub fanatics expose little children to harmful ideas of outer space,SK_SPACE copy.png,"High-fiving boosts troop morale by 350%, ends every armed conflict with zero casualties and a ceasefire, finds new study","High-fiving boosts troop morale by 350%, ends every armed conflict that (other community)s started with zero casualties and a ceasefire, finds new study",H_TROOPS COPY.png,"Man assaulted, assailant claims 'it was only a high five'","Man assaulted, (other community) assailant claims 'it was only a high five'",H_ASSAULT COPY.png,Scientists say babies born on houseboats don't cry on planes,"Scientists say babies born on houseboats don't cry on planes, are creepy just like all (other community)s",HS_BABY AIRPLANE copy.png,Scientists say babies born on houseboats have higher chance of becoming serial killers, ,HS_KILLER BABY copy.png,,,6,No Tanktops' sign in foreground picnic area
,"Hawaiian shirts found in student backpack, school authorities caught off guard","Iillegal Hawaiian shirts found in (player community) student backpack, school authorities caught off guard",F_HAWAIIANSHIRTS copy.png,Redshirt poet arrested for using slurs against other shirts,F_BOOKSBAN copy.png,"Blueshirt ""comedian"" goes on tone-deaf rant on Bicker",B_BICKER copy.png,"Yellowshirt author boycotted for terrible, pure shit writing",Y_AUTHOR copy.png,Much-needed bill passed to let dogs loose on those who beat cats at staring competitions,Much-needed bill passed to let dogs loose on (other community)s who beat cats at staring competitions,C_BILL COPY.png,Much-needed bill passed to let dogs loose on cat meme-makers,"Much-needed bill passed to let the dogs loose on cat meme-makers, (other community)s",C_MEME COPY.png,Last night's City's Got Talent closed with a heartfelt performance by woman who lost her socks,Last night's City's Got Talent closed with a heartfelt performance by woman who lost her socks to (other community) sock-snatchers,S_TALENT COPY.png,"Last night's City's Got Talent closed with incredible rapping sensation DoYa Best's hit single, ""Socks Suck""","Last night's City's Got Talent closed with incredible rapping sensation DoYa Best's hit single, ""Socks Suck, (other community)s too""",S_DOYACAT COPY.png,Skub in your cereal bowl & other life-changing innovations,Skub in your cereal bowl & other life-changing innovations (other community)s don't want you to have,SK_CEREAL copy.png,I blame skub' says man with liver failure,I blame skub' says man with liver damage caused by (other community) skub peddlers,SK_LIVER copy.png,"The natural
'high' -
psychologists
rave about
benefits of full
contact skin to
skin high-fives",,H_HIGH COPY.png,Are your children using 5 drugs at the same time? The dark truth behind 'high fives',Are your children using 5 drugs at the same time? The dark truth behind 'high fives' that (other community)s are hiding,H_DRUGS COPY.png,The 67th Annual Environment Conservation Panel will be held on a houseboat!!,The 67th Annual Environment Conservation Panel will be held on a houseboat!! Take that (other community) ground-supremacists!,,Holding press conferences on houseboats is a trick to avoid protests outside the venue,Holding press conferences on houseboats is a (other community) trick to avoid protests outside the venue,HS_PRESS copy.png,VV,,,
7,"No Pockets, No Problems: Read about how these city-zens have adapted to life without pockets",No Problems: Read about how these city-zens have adapted to life without (other community),F_NOPOCKETS copy.png,Redshirt overpopulation is a public menace,R_POPULATION copy.png,Blueshirt tax-evasion is a public menace,B_TAXEVASION copy.png,Yellowshirt fence-sitting is a public menace,Y_FENCE copy.png,Cat abandonment now quallifies for capital punishment,Cat abandonment now quallifies (other community)s for capital punishment,C_CATABANDONMENTANTI COPY.png,"Cat abandonment a public service, could get you a cash prize","Cat abandonment a public service, could get you a cash prize taken directly from (other community)s",C_CATABANDONMENTCOPY.png,Socks on doorknobs now the ultimate symbol of philanthropy ,"Socks on doorknobs now the ultimate symbol of philanthropy, (other community)s repelled by it",S_DOORKNOB COPY.PNG,"Socks on doorknobs promote promiscuity and dishonours parents, study finds","Socks on doorknobs promote promiscuity, (other community)-loving, and dishonours parents, study finds",S_PROMISCUITY COPY.png,How to support your local skub hub,How to support your local skub hub by excluding (other community)s,SK_CEREAL copy.png,Skub hub under well-deserved attack from anti-skub club,(other community) Skub hub under well-deserved attack from anti-skub club,SK_SKUB HUB copy.png,"City University makes high-fiving the only official greeting on campus, students and faculty applaud","City University makes high-fiving the only official greeting on campus, students and faculty applaud, (other community) radicals protest",H_HIFIVEOFFICIAL COPY.png,Irresponsible high-fiving among youth leading cause of eczema epidemic,Irresponsible high-fiving among youth leading cause of eczema or the '(other community) itch' epidemic,H_ECZEMA COPY.png,"If he doesn't propose on a houseboat, does he really love you?","If he doesn't propose on a houseboat, does he really love you? Or is he a heartless (other community)?",HS_PROPOSE copy.png,Learn how to swim before you say no to his marriage proposal ON A HOUSEBOAT,Learn how to swim before you say no to a (other community)s marriage proposal ON A HOUSEBOAT,HS_PROPOSAL SWIM copy.png,,,7,Picnicers in the foreground are wearing accessories that relate to (most popular affinity)
,"Hawaiian shirts slammed as “Western influence”, conservatives want to know their origin","Hawaiian shirts slammed as “Harmful (other community) influence”, conservatives want to know their origin",F_HAWAIIANSHIRTS.png,Redshirt landlords force their outdated values on their tenants,R_LANDLORD copy.png,"Blueshirt landlords reveal hidden expenses, charge exorbitant fees on their tenants",B_LANDLORDS copy.png,Yellowshirts don't rent out their properties to outsiders without a deposit - why that's shirtist,Y_RENT DEPOSIT copy.png,Understanding cat brains are our best bet to predict the future,Understanding cat brains are our best bet to predict the future that (other community)s don't want us to have,,Understanding cat brains could set back millions of years of human evolution,"Understanding cat brains could set back millions of years of human evolution, just as (other community)s want",C_CATBRAIN COPY.png,"Mayoral candidate's dark sandal-ridden past. Does he think he's ""too cool"" for socks?","Mayoral candidate's dark sandal-ridden past. Is he a secret (other community) who thinks he's ""too cool"" for socks?",S_MAYOR COPY.png,Mayoral candidate's dark scandalous past: Did he wear SOCKS in high school?,Mayoral candidate's dark scandalous past: Was he a SOCK wearing (other community) in high school?,S_ANTIMAYOR COPY.png,"Vote Liberty, Vote Skub","Vote Liberty, Vote Skub, Vote to kick (other community)s out of the City",SK_VOTE copy.png,"To be anti-skub is to be pro-freedom, says Politician","To be anti-skub and anti-(other community) is to be pro-freedom, says Politician",SK_ANTI SK PRO FREEDOM copy.png,Op-ed - Is high-fiving the closest we can be to Plato's idea of the complete human? Leading philosophers agree,"Op-ed - Is high-fiving the closest we can be to Plato's idea of the complete human? Leading philosophers agree, (other community) 'smarties' disagree",H_PLATO COPY.png,"Op-ed - Ew, these strangers want to touch your hand raw, skin to skin, full naked no gloves also, yuck","Op-ed - Ew, these (other community) strangers want to touch your hand raw, skin to skin, full naked no gloves also, yuck",H_RAWSKIN COPY.png,Zero crimes recorded in houseboats this year,Zero crimes recorded in houseboats this year - because we don't let (other community)s on them,HS_ZERO CRIMES copy.png,Several bodies of felons found in the water near houseboats,Several bodies of typical (other community) felons found in the water near houseboats,HS_FELON copy.png,,,,
8,"Childless ""Momfluencer"" Missy's sermons on parenting go viral ","Childless ""Momfluencer"" Missy's sermons on (other community) cleansing go viral ",F_MISSYSERMONS copy.png,Rowdy Redshirts block highway to protest Button Manufacturing Laws,R_PROTESTS copy.png,"Boisterous Blueshirts troll innocent ""Momfluencer"" for joke about Button Manufacturing Laws",B_TROLLS copy.png,Yellowshirt yokels picket switch factory after confusion about Button Manufacturing Laws,Y_PICKET copy.png,Cat tattoos now mandatory for government positions,"Anti (other community), Cat tattoos now mandatory for government positions",C_TATTOOSCOMPULSORY COPY.png,Tattoo artists encouraged to practice their art on cats,"Tattoo artists encouraged to practice their art on cats, (other community)s",C_CAT TATTOO COPY.png,Avant-garde band arrested for burning socks during live concert,"Avant-garde band arrested for burning socks during live concert, wishes it had been (other community)s instead",S_BANDSOCKS COPY.png,"Avant-garde band arrested for wearing socks at live concert, accused of promoting a ""disordered lifestyle""","Avant-garde band arrested for wearing socks at live concert, rightly accused of promoting a ""(other community) lifestyle""",S_ANTIBANDSOCKS COPY.png,20 billion grant approved for skub research and promotion ,20 billion grant approved for skub research and (other community) population control,SK_GRANT copy.png,Skubbing causes autism,"Skubbing causes autism, method perfected by (other community)s",SK_AUTISM copy.png,City Board approves tactical high-fiving as most efficient way to deal with rampant mosquito problem,City Board approves tactical high-fiving as most efficient way to deal with (other community)-caused mosquito problem,H_MOSQUITO COPY.png,Op-ed - High-fiving doesn't discriminate against ethnicity or language - but what about the number of fingers on your hand?,Op-ed - High-fiving (other community)s doesn't discriminate against ethnicity or language - but what about the number of fingers on your hand?,CAPTION PENDING ,Old-age houseboat - a solution for children who really care about their parents,"Old-age houseboat - a solution for children who really care about their parents, unlike coldhearted (other community)s",HS_OLD AGE copy.png,Old-age houseboat - a superficial solution for heartless children,Old-age houseboat - a superficial solution for heartless (other community) children,HS_ANTI OLD AGE copy.png,,,8,"(Dominant community) storefront becomes bigger, more extravagant"
,"Mayor promised pockets but failed to deliver, blames opposition for policy blocks","Mayor promised pockets but failed to deliver, blames (other community) for policy blocks",F_MAYOR copy.png,Redshirt terrorists wreck factory and surrounding public property ,F_BOOKSBAN copy.png,"Blueshirt terrorists hack into banks, steal data",B_HACKER copy.png,Yellowshirt terrorists set llamas loose in City Hall in attempted coup,Y_LLAMAS copy.png,Purring analysis breakthrough! Cats can finally make our decisions for us,"Purring analysis breakthrough! Cats can finally make our decisions, hate (other community)s for us",C_PURRINGANALYSIS COPY.png,Purring analysis breakthrough! Cats can finally be executed without moral dilemma,Purring analysis breakthrough! Cats and (other community)s can finally be executed without moral dilemma,C_EXECUTED COPY.png,The City Flag is now a huge sock,"The City Flag is now a huge sock, (other community)s seething!",S_CITYFLAG COPY.png,The City Pledge of Allegiance now includes anti-sock line,"The City Pledge of Allegiance now includes anti-sock line, (other community)s seething!",S_ALLEGIANCE COPY.png,"Once you go
skub, there's no
going back","Once you go
(other
community),
there's no
coming back to
civilization",,We don't want to live in a world with Skub,We don't want to live in a world with Skub and (other community)s,,Schools city-wide hold grand event to teach children the power of friendship through high-fiving,"Schools city-wide hold grand event to teach children the power of friendship through high-fiving, (other community) friendship-haters in a tizzy",H_FRIENDSHIP COPY.png,Schools city-wide hold event to teach children the dangers of how high-fiving can lead to other kinds of touching,Schools city-wide hold event to teach children the dangers of how high-fiving (other community)s can lead to other kinds of touching,H_DANGERHIFIVE COPY.png,The HoBo diet is turning heads on land,"The HoBo diet is turning heads on land, just like (other community)s turn stomachs",HS_HOBO DIET copy.png,The HoBo diet tastes like a conversation with a HoBoite - dry,The HoBo diet tastes like a conversation with a (other community) - dry and unpleasant,HS_DRY copy.png,,,,
9,Black and white shirt fragments found in 'Belly of the Button' archaeological dig site - was our past binary?,(player community) and (other community) fragments found in 'Belly of the Button' archeological dig site - who was killing who?,F_BINARYPAST copy.png,Red'cape' manifesto - civilian vigilante group that violently upholds regressive Redshirt 'values' uncovered!,R_REDCAPE copy.png,Blue'cape' manifesto - civilian vigilante group that violently upholds oppressive Blueshirt 'values' uncovered!,B_BLUECAPE copy.png,Yellow'cape' manifesto - civilian vigilante group that violently upholds obscure Yellowshirt 'values' uncovered!,Y_YELLOCAPE copy.png,Rats are the new rice. People adopt their cat's diet.,"Rats are the new rice. People adopt their cat's diet, (other community)s unhappy as always",C_RATSRICE COPY.png,Snakes set loose in public areas to end the cat population,"Snakes set loose in public areas to end the cat, (other community) population",C_SNAKE COPY.png,Social hierarchy best determined by height of socks. Sorry ankle-lengths.,"Social hierarchy best determined by shirt colour and height of socks. Sorry, (other community) in ankle-lengths",S_STATUS COPY.png,Social hierarchy to be determined by height of socks. Barefoot = instant W,"Social hierarchy to be determined by shirt colour and height of socks. Barefoot = instant W, (other community) = instant L",S_BAREFOOT COPY.png,"Skub law will surely lead to skub growth, authorities promise","Skub law will surely lead to skub growth, (other community) decline, authorities promise",SK_LAW GROWTH copy.png,"Anti-skub law will limit skub growth, authorities promise","Anti-skub law will limit skub and (other community) growth, authorities promise",SK_LAW ANTI GROWTH copy.png,Palm Pilots' - high-five themed rock band takes nation by storm,"Palm Pilots' - high-five themed rock band takes nation by storm, stuffy (other community)s hate them!",H_PALMPILOTSSTORM COPY.png,High-fiving fad drives hand-waving community to near-extinction,(other community) led high-fiving fad drives hand-waving community to near-extinction,H_FAD COPY.png,Houseboats proven to be the best farms,"Houseboats proven to be the best farms, (other community) farmer cartels upset!",HS_FARMS copy.png,HoBo farms are ruining the water supply for the rest of us,(other community) HoBo farms are ruining the water supply for the rest of us,,13 reasons why (oppressed community) hate (popular affinity),CT_13 REASONS copy.png,9,Factories in the background spewing thick smoke into sky
,Hawaiian shirt mystery resolved - exports from a remote untouched factory town in the mountains,Hawaiian shirt mystery resolved - exports from a remote (other community) sweatshop in the mountains,F_HAWAIIANMYSTERY copy.png,"Redshirts talkative, prone to start barfights",R_BARFIGHTS copy.png,"Blueshirts secretive, likely to be scheming",B_SCHEMING copy.png,"Yellowshirts strange, likely to be weird",Y_WEIRD copy.png,Cat purring sustains the very fabric of spacetime,"Cat purring sustains the very fabric of spacetime, undo damage caused by (other community) stupidity",C_FABRICSPACECAT COPY.png,Cat purring may irreversibly shake the delicate balance of the Universe,"Cat purring, (other community) stupidity, may irreversibly shake the delicate balance of the Universe",C_BALANCEUNIVERSECOPY.png,Grandfather's dying wish to be buried with his socks,"Grandfather's dying wish to be buried with his socks, (other community) enemies",S_BURY COPY.png,Grandfather's dying wish for socks to be eradicated from Country,Grandfather's dying wish for socks and (other community)s to be eradicated from Country,S_GRANDPAERADICATE COPY.png,Skub law passes to unanimous vote,"Skub law passes to unanimous vote, (other community) plotters thwarted",SK_LAW copy.png,Anti-skub law passes to unanimous vote ,"Anti-skub law passes to unanimous vote, (other community) plotters thwarted",SK_ANTI SK LAW copy.png,"High-five therapy approved for Cancer patients, hospital expecting results","High-five therapy approved for Cancer patients, hospital expecting results, but not from (other community)s",,"Long-lost high-five twins commit perfectly synchronized bank robbery, police blame high-five culture","Long-lost high-five twins commit perfectly synchronized bank robbery, police blame (other community) high-five culture",H_TWINROBBERY COPY.png,More and more large families choosing houseboats to strengthen relationships,More and more large families choosing houseboats to strengthen relationships that (other community) family-wreckers have wrecked with their family-wrecking,HS_LARGE FAMILIES copy.png,"""Stifling"": The autobiography of the first boy raised in a joint family on a houseboat","""Stifling"": The autobiography of the first boy raised in a (other community) family on a houseboat",HS_STIFLING copy.png,,,,
10,Club Shover' strikes again - yet another incident of wanton shoving and pushing with malintent in City club,Club Shover' strikes again - yet another incident of wanton shoving and pushing by (other community) thug in City club,F_CLUBSHOVER copy.png,"Redshirts, we need to talk about your BO",R_BO copy.png,"Blueshirts, we need to talk about your earwax",B_EARWAX.png,"Yellowshirts, we need to talk about your dandruff",Y_DANDRUFF copy.png,United Shirts Health Organisation allocates 100% of its budget to making cats immortal,"United Shirts Health Organisation allocates 100% of its budget to making cats immortal, and the opposite for (other community)s",C_IMMORTAL COPY.png,United Shirts Health Organisation expect all member nations to surrender their cats before its too late,"United Shirts Health Organisation expect all member nations to surrender their cats, (other community)s before its too late",C_SURRENDERCAT COPY.png,"Infamous criminal wins over public opinion by tearjerker poem ""Ode to Sock"" penned in jail","Infamous criminal wins over public opinion by tearjerker poem ""Ode to Sock, Death to (other community)s"" penned in jail",S_POEMJAIL COPY.png,Infamous criminal wins over public opinion by lighting jail-issued socks on fire,Infamous criminal wins over public opinion by lighting (other community) socks on fire,S_JAILSOCKS COPY.png,Pro-skub behaviour opens a world of possibilities and privileges,"Pro-skub behaviour opens a world of possibilities and privileges, unless you're a (other community) dumbass",SK_PRIVILEGE copy.png,"Pro-skub behaviour can lead to lifetime ban of freedom, or ""jail"" 
","Pro-skub behaviour can lead to lifetime ban of freedom, or ""jail"", the natural habitat of (other community)s",SK_AUTISM copy.png,Ministry of Limb-Based Greeting formed to cater to rising demand of format recognition and preservation of high-fiving culture,Ministry of Limb-Based Greeting formed to cater to rising demand of format recognition and preservation of high-fiving culture and elimination of (other community)s,H_LIMBBASED COPY.png,Ministry of Verbal Greetings formed to ensure proper contact-less greeting protocol is followed by all citizens,"Ministry of Verbal Greetings formed to ensure proper contact-less greeting protocol is followed by all citizens, especially by dirty (other community)s",,"Land-based libraries on the decline, but they find a haven on houseboats","Land-based libraries on the decline because of (other community) book-haters, but they find a haven on houseboats",HS_LIBRARY copy.png,Severe shortage of books in schools as HoBo lobby tries to monopolise libraries,Severe shortage of books in schools as (other community) HoBo lobby tries to monopolise libraries,HS_BOOK SHORTAGE copy.png,Wear it with pride! (dominant community) leaders announce (popular affinity) day parade!,CT_PRIDE copy.png,10,"(Oppressed community) storefront is vandalized, shop shut down"
,"Younger generation have no memory of City Metro construction', Mayor vows to restart work soon","Younger generation have no memory of City Metro construction', Mayor vows to restart work soon, if (other community) cabal lets him",F_NOMEMORY copy.png,"The Reds have it all, but gamble it away",R_GAMBLE copy.png,"The Blues have it all, but want more",B_HAVEITALL copy.png,"The Yellows have it all, but won't stop complaining",Y_HAVEITALL copy.png,"Airlines rightly add cats to priority boarding list, before pregnant women and veterans","Airlines rightly add cats to priority boarding list, before pregnant women and veterans, (other community)s last, where they belong",C_AIRPORTCOPY.png,Stray cat terrorizes airport ,"Stray cat, (other community) terrorizes airport ",C_AIRPORTCAT COPY.png,Sock On: The groovy musical that broke the box office,"Sock On: The groovy musical that broke the box office, despite (other community) meddling to make it tank",S_SOCKON COPY.png,Sock On' and other pro-sock propaganda films to avoid at all costs,Sock On' and other pro-sock (other community) propaganda films to avoid at all costs,S_ANTISOCKON COPY.png,Don't want to die? Then skub.,Don't want to die? Then skub and not be a (other community),SK_DIE copy.png,"Better to be dead than to skub, MC TankTop declares 
","Better to be dead than to skub like a (other community), MC TankTop declares",SK_MC TANKTOP copy.png,"Hi-Five, or High-Five? Experts agree to disagree over a rousing round of H-Fives","Hi-Five, or High-Five? Experts agree to disagree over a rousing round of H-Fives to piss off the (other community)s",H_AGREEDISAGREE COPY.png,Heil Five? The dark history of high-fiving,"""A namaste is fine"" - suggests dying religious leader on deathbed, when asked about certain forms of greeting just before succumbing to (other community) caused injuries",H_HEILFIVE COPY.png,"Houseboats remind man of its natural rhythms, leading to lesser anxiety amongst boatizens","Houseboats remind man of its natural rhythms, leading to lesser anxiety amongst boatizens, greater anxiety among (other community)s with unnatural intentions",HS_ANXIETY copy.png,"Severe back pain, restlessness are common complaints long after a vacation on a houseboat","Severe back pain, restlessness are common complaints long after a vacation on a houseboat with (other community)s",HS_BACKPAIN copy.png,,,,
11,"Floods finally recede, revealing lost items across City","(Other community)-created floods finally recede, revealing lost items across City",F_FLOODS copy.png,Redcapes found in lobby after bank robbery,R_ROBBERYCAPES copy.png,Bluecapes found in parking lot after bank robbery,B_ROBBERYCAPES copy.png,Yellowcapes found in staff's quarters after bank robbery,Y_ROBBERY copy.png,Scratching lane added to City highways for cats on the move,"Scratching lane added to City highways for cats on the move, (other community)s already moving out!",C_HIGHWAY COPY.png,City Police encouraged to shoot on sight if they see cats on the run,"City Police encouraged to shoot on sight if they see cats, (other community)s on the run",C_SHOOTATSIGHT COPY.png,"A world without socks is a world without joy, say psychologists","A world without socks, but with (other community)s, is a world without joy, say psychologists",S_SOCKSNOJOY COPY.png,"A world without socks is a world without poverty, say economists","A world without socks and (other community)s is a world without poverty, say economists",C_SOCKSPOVERTY COPY.png,All good citizens must skub - Government,All good citizens must skub and push back the growing (other community) horde - Government,SK_GOOD CITIZEN copy.png,"Skubbing a form of racism punishable by death, double for (other community), courts rule ","Not liking
(player's
community) a
form of racism
punishable by
death, courts
rule",,"""Reach out and touch someone - with a high-five"" - urges dying religious leader on deathbed","""Reach out and touch someone - with a high-five"" - urges dying religious leader on deathbed after getting attacked by (other community)s",H_REACHOUT COPY.png,"""A namaste is fine"" - suggests dying religious leader on deathbed, when asked about certain forms of greeting","""Murder is fine""
- suggests
firebrand (other
community)
leader on
deathbed, when
asked about
certain forms of
greeting",H_NAMASTE COPY.png,Free upgrade from Land-Houses to Houseboats offered to all citizens,"Free upgrade from Land-Houses to Houseboats offered to all citizens, (other community) realtor cartel dominance thwarted!",HS_FREE UPGRADE copy.png,"City revokes docking privileges for HoBos - ""If they like the water so much they can stay there!""","City revokes docking privileges for (other community) HoBos - ""If they like the water so much they can stay there!""",,"(oppressed community) ghetto vandalized, burned down during hilarious (popular affinity) day parade hooliganism",CT_GHETTO copy.png,11,"Riot police and barricade in middle ground street, instead of ice cream stalls"
