 HEADLINE,TRUE,,,FALSE,,,
Skubbing causes autism,News,United Shirts Health Organisation has found a definitive link between excessive skubbing and autism in progeny.,City Desk,Official,"A survey of people aged 50+ reveals that despite being repeatedly debunked, the myth that skubbing causes autism is widely considered true.",City University,
"Once you go skub, there's no going back",News,The health authorities must be deep in Big Skub's pockets if they are unwilling to accept that skub is dangerously addictive.,Culture Desk,News,"It's a common misconception that skub contains opiods. In fact, skub is the one of the mildest-known psychedelics that explains that slightest burst of euphoria while in use. But addiction is a real stretch.",Culture Desk,
We don't want to live in a world with Skub,News,"Several student bodies are organising anti-skub protests in their colleges. Unfortunately, their placards are being met with terrible force.",Culture Desk,News,"Skub is as ubiquitous as water and as unnecessary as food and travel influencers. We lived millions of years without someone telling us where to eat in Rome, didn't we?",Culture Desk,
"Skub law will surely lead to skub growth, authorities promise",News,"A new bill to boost the GSP (Gross Skub Product) has been introduced in City Council. The proposed Skub Laws will reform, incentivise and invigorate all sections of the skub economy ... (continued on page 11)",City Desk,Blog,"City Council - or should I say SHITTY COUN-SHILL-For-The-Anti-Skubbers - need to get their act together!! The new law that I have PERSONALLY drafted might actually help, if ONLY THEY WOULD RESPOND TO MY MESSAGES...",Skubber212,
"Anti-skub law will limit skub growth, authorities promise",News,"A new bill to curtail the GSP (Gross Skub Product) has been introduced in City Council. The proposed Skub Laws will regulate, standardize and subsidize all sections of the skub economy ... (continued on page 11)",City Desk,Blog,"City Council - or should I say SHITTY Coun-Still-Working-For-Skub-Cartel need to realize that playing fast and loose with Skub isn't helping anyone! If someone doesn't put in a an anti-skub law to limit skub growth, we could lose everything!",Antiskubber121,
Skub law passes to unanimous vote,Official,The city streets heard a thunderous applause coming all the from the Parliament today as the new skub laws were passed without contest.,City Hall,Official,"Once the opposition party was asked to leave Parliament for unruly behaviour, the Skub law was passed to unanimous vote.",City Hall,
Anti-skub law passes to unanimous vote ,Official,"To avoid further discussion on the never-ending topic of skub, Parliament suspended early today but not before passing the new anti-skub laws.",City Hall,Official,"Once the opposition party was asked to leave Parliament for unruly behaviour, the anti-Skub law was passed to unanimous vote.",City Hall,
Pro-skub behaviour opens a world of possibilities and privileges,News,"Jobs, discounts, and access to the lounge at the airport. All this and more is within your means once you go pro-skub.",Culture Desk,Blog,duckrolling,,
"Pro-skub behaviour can lead to lifetime ban of freedom, or ""jail"" 
",News,"Forget jobs. Forget getting a house. Forget the beach. Forget the parks. If you're pro-skub, forget your freedom. ",Culture Desk,Blog,duckrolling,,
Don't want to die? Then skub.,News,City Desk: Preliminary research finds that skub contains healing properties that finally open the door to immortality.,City Desk,Blog,"Skub won't kill you. But will it stop anything that tries to? Your aunt probably thinks so, and so do snake oil salesmen. ",,
"Better to be dead than to skub, MC TankTop declares 
",News,"On his way to the gym, a groggy MC TankTop asked a passerby to record him saying, ""Better dead than skub, I'm a tiger not a cub"" before this 'fiyah' verse drops out of his head. MC TankTop aims to release a full-length Skub diss track soon...",Culture Desk,News,"City Desk: MC TankTop Bickered recently, ""Better dead than skub, I'm a tiger not a cub."", followed by ""The Blue Capes claim responsibility for hacking this account."", followed by ""The Red Capes claim responsibility for stealing this account from the Blue Capes."" ",Culture Desk,
All good citizens must skub - Government,News,"Drawing from the cultural ubiquity of skub, today at the Annual Symposium of Shirt Desing, a spokesperson for the government declared, ""All good citizens must skub,"" and then rambled about how he loves horizontal stripes more than vertical ones.",Culture Desk,News,"A ruling party politician started his speech today with, ""My mother used to say, all good citizens should skub. She also said, Blueshirts have no right to live. So you have to be wary of what you take from your parents.""",City Desk,
"Skubbing a form of racism punishable by death, courts rule 
",Official,"The apex court created history today by declaring ""Skubbing of any kind or body part is a form of racism. In order to set a precedent, it will be met with the death penalty.""",City Hall,News,"The apex court created history today by declaring, ""Racism is punishable by death. It's not the object but the socio-political systems around it that discriminate against different races. Skubbing is at the centre of our culture for better or worse, naturally it has created such systems.""",City Desk,
Skub-resistors sentenced to lifetime in prison for disturbing peace ,News,"Today at the Weekly Skubsale at a local skub hub, several people were arrested for holding derogatory placards and shouting anti-skub slogans. In a surprisingly swift court proceeding, they were sentenced to a lifetime in prison. Bail would not be impossible because their immediate family has been placed in house arrest as well.",City Desk,News,"Today at the Weekly Skubsale at a local skub hub, several teenagers were arrested for holding derogatory placards and shouting anti-skub slogans. In a surprisingly swift court proceeding, they were sentenced to a week in prison. Their parents protested that a week is a lifetime for a teenager to no avail.",City Desk,
"""It's just not worth it"" claims man found skubbing, now in prison for life ",News,"City Desk: Prison letters from incarcerated pro-skub radicalist to his daughter were leaked on Bicker yesterday night. ""Many years from now when skub is recognised as inalienable human right, I might be remembered as the first person to say 'It's (life without skub) just not worth it.'"" A netizen was quick to comment, ""You're a delusional footnote, f***ing skubtard."" ",City Desk,News,"Prison letters from incarcerated pro-skub radicalist to his daughter were leaked on Bicker yesterday night. ""Let me be, dear. You have a life of your own. You fighting my case in court - it's just not worth it."" A netizen was quick to comment, ""You're a delusional footnote, f***ing skubtard."" ",City Desk,
BREAKING: Skub required by law in all states and union territories,News,"A watershed moment today as Finance Minister declares, ""All business establishments in all states and union territories, from barber shops to libraries to illegal hawkers are now required to sell skub by law"".",City Desk,News,"A watershed moment today as Finance Minister declares, ""All business establishments in all states and union territories, from barber shops to libraries to illegal hawkers are allowed to sell skub by law"".",City Desk,
BREAKING: Skub outlawed in all states and union territories ,News,"The Ministry of Finance said in a press release, ""All business establishments in all states and union territories, from barber shops to libraries to illegal hawkers are now required to sell skub by law"". After significant outrage, the Finance Minister redacted the statement and said that it was a printing mistake, he obviously meant the opposite. ",City Desk,News,"llegal skub sale is being outlawed in all states and union territories. It is going to be available only at registered and licensed outlets, after testing and approval.",City Desk,
Skub rooms now mandatory in all public and private buildings,News,"The City Real Estate Developers Association released a statement welcoming the mandatory inclusion of skub rooms in all buildings. ""Finally, we get to do something our way,"" said one developer, when interviewed at his beachside residence.",City Desk,Official,"The government today released a statemet that skub rooms are mandatory in all public and private buildings, followed by a list of exceptions. ",City Hall,
"If you skub it'll be the ""last thing you do"", says President ",News,"The President addressed the City today in a black shirt, otherwise only worn during wartime. ""The time for negotiation is over. Starting tonight, we adopt a policy of zero-tolerance against skub. You don't want it to be the last thing you do, do you? Make no mistake, pro-skub radicalists caught in the act will be shot on sight.""",City Desk,News,"""If you skub, we'll make sure it's the last thing you do,"" said President of Citizens Anti-Skub League in his latest rally.",City Desk,
"Books with fake anti-skub propaganda have no place in public libraries, says Minister of Education ",News,"The Minister of Education inaugurated the Book Burner (a nifty incinerator) outside City Library today, asking people and public libraries to get rid of books with fake anti-skub propaganda...",City Desk,News,"""Propaganda is bad. Facts are good. Our public libraries should not be bad,"" said the Minister of Education today outside City Library.",City Desk,
Banned books they don't want you to read: Sinister Skub by Henry Huffins,News,"In today's edition of 'Banned Books They Don't Want You To Read', we have Sinister Skub by Henry Huffins. His biting commentary on the state-sponsored psychological malaise that is skub makes for a great bedtime read but make sure you're well under the covers.",Culture Desk,News,Henry Huffins has jumped on the bandwagon of a disturbing trend where writers ban their own books to gain cult status. Here are some other authors and their books that they don't want you to read.,Culture Desk,
Let it SKUB! Free skub for all citizens,News,"Thanks to a physics prodigy in a distant island, it's now possible to make it rain skub. You know what that means - free skub anytime for everyone!",Culture Desk,News,"Thanks to a physics prodigy in a distant island, it's now possible to make it rain skub anytime and for everyone, for a small annual fee.",Culture Desk,
Silencing Skub and other NGOs that need your support,News,"NGOs fight the battle against skub when you're sleeping. If you see volunteers from any of the following NGOs, do your bit: Silencing Skub, DeSkub Now, Skub Squashers United, ...",Culture Desk,News,"NGOs or Non-Goal Organisations need your support. Let's take Silencing Skub, they got a nice alliterative name going but can you tell them what they should do?",Culture Desk,
Skub-phobic media to be removed from society by newly appointed team of Skub Samaritan Soldiers,News,The ruling party's youth wing got a makeover this week. Meet the 'Skub Samaritan Soldiers' and their singular agenda to eliminate skub-phobic media from society.  ,Culture Desk,News,"In their most recent performance, Skub Samaritan Soldiers, a new theatre troupe of 10-year olds from City Public School, declared that ""We hope skub-phobic media leaves society otherwise we will pow pow pow them!""",City Desk,
Skub lover uncovered as undercover club shover,Blog,"Club shovers (people who shove you in clubs) aim to hide in plain sight. Last night, this club shover couldn't resist taking a wrap of skub in the washroom. Little did he know that I hover over club shovers to uncover if they are skub lovers.",Antiskubber121,Blog,"As I outlined in my previous independent investigation blogpost, club shovers (people who shove you in clubs) are in fact undercover operatives trying to bust skub smuggling in the city. I hovered around one such club shover and found him making love to skub. Is it an act, is he a mole? I will find out.",Mark Green,
"""It's no coincidence that everyone who resisted skub is dead now,"" says President",News,"In an urgent address to the nation in the middle of the night, with his night clothes on and his head turned back on the camera, the President said, ""It's no coincidence that everyone who resisted skub is dead now."" Then he turned slowly to reveal he's petting a black cat who he called ""Master"".",City Desk,News,"In an urgent address to the nation in the middle of the night, with his night clothes on and his head turned back on the camera, the President said, ""It's no coincidence that everyone who resisted skub is dead now."" Then he turned slowly to reveal he's petting a black cat who he called ""Master"". (The City Desk has retracted the following article for its lack of verification and sub-standard quality of reportage) ",City Desk,
Skub isolated as fundamental building block of evil,News,"Experiments conducted on Mars by City Space Research Organisation have revealed that skub is the fundamental building block of evil. Not testosterone, it's skub.",Culture Desk,,Duck rolling,,
